100 2999
52 82 29
52 84 78
52 85 18
52 86 13
52 87 67
52 89 35
52 90 55
52 91 52
52 92 71
52 94 28
52 95 12
52 96 70
52 98 58
52 99 14
53 55 85
53 57 73
53 59 65
53 60 12
53 61 1
53 63 27
53 64 53
53 65 25
53 66 62
53 72 42
53 76 69
53 77 21
53 78 45
53 80 88
53 82 88
53 83 70
53 84 89
53 85 88
53 86 71
53 87 63
53 88 47
53 89 20
53 90 46
53 96 47
53 97 59
53 98 35
54 55 83
54 57 33
54 60 96
54 62 35
54 65 50
54 66 49
54 68 60
54 69 67
54 70 43
54 72 15
54 74 4
54 77 74
54 79 20
54 80 75
54 83 73
54 85 47
54 86 21
54 88 58
54 89 73
54 90 5
54 91 74
54 93 2
54 96 2
54 97 75
55 56 18
55 57 37
55 61 76
55 62 63
55 63 50
55 64 52
55 67 91
55 68 78
55 70 69
55 71 54
55 73 24
55 75 72
55 76 3
55 77 77
55 79 28
55 80 4
55 81 67
55 85 44
55 86 85
55 87 7
55 91 86
55 92 28
55 93 25
55 94 37
55 95 41
55 97 22
56 57 71
56 58 64
56 60 94
56 61 8
56 63 45
56 67 92
56 70 93
56 71 29
56 73 8
56 74 99
56 75 88
56 77 50
56 79 85
56 80 15
56 81 89
56 82 95
56 83 23
56 85 85
56 86 47
56 87 51
56 88 36
56 89 74
56 91 31
56 92 27
56 93 37
56 94 100
56 95 90
56 96 56
56 97 97
56 98 38
56 99 5
57 58 40
57 59 43
57 60 74
57 61 31
57 62 31
57 64 42
57 71 47
57 74 43
57 76 7
57 78 59
57 79 26
57 81 69
57 82 20
57 83 87
57 87 12
57 89 41
57 91 31
57 92 82
57 93 12
57 95 37
57 98 72
58 59 95
58 61 96
58 62 42
58 64 74
58 67 65
58 69 96
58 70 5
58 71 78
58 72 32
58 74 37
58 75 7
58 76 100
58 79 66
58 80 11
58 81 53
58 83 85
58 86 44
58 87 86
58 89 48
58 90 30
58 91 20
58 92 66
58 93 82
58 94 6
58 96 35
58 99 71
59 62 11
59 64 62
59 65 20
59 69 53
59 70 18
59 71 32
59 72 30
59 73 75
59 74 51
59 76 47
59 80 43
59 81 45
59 83 79
59 84 31
59 86 34
59 88 63
59 89 19
59 90 20
59 91 100
59 92 60
59 93 22
59 94 96
59 95 43
59 96 14
59 98 43
59 99 100
60 61 36
60 62 49
60 63 19
60 64 67
60 65 83
60 68 18
60 69 64
60 71 57
60 72 8
60 73 30
60 75 12
60 79 56
60 80 75
60 81 68
60 84 51
60 85 7
60 87 79
60 88 90
60 90 73
60 91 24
60 93 58
60 94 84
60 95 59
60 96 81
60 97 61
60 98 34
61 62 88
61 64 45
61 65 79
61 67 50
61 69 10
61 73 19
61 74 16
61 76 22
61 79 29
61 80 46
61 82 14
61 83 25
61 84 28
61 85 37
61 88 47
61 89 4
61 91 30
61 92 32
61 93 8
61 94 8
61 97 22
61 98 53
62 63 66
62 65 35
62 66 19
62 68 31
62 69 3
62 70 66
62 71 29
62 72 98
62 76 91
62 78 49
62 79 56
62 80 65
62 83 87
62 85 29
62 86 14
62 88 99
62 89 79
62 90 88
62 92 41
62 95 71
62 96 15
62 97 57
62 98 10
63 65 19
63 66 91
63 69 95
63 71 71
63 72 66
63 73 83
63 74 85
63 76 18
63 79 17
63 81 8
63 83 48
63 85 10
63 86 59
63 88 96
63 89 33
63 95 48
63 97 69
63 99 10
64 65 89
64 66 15
64 68 38
64 70 30
64 72 55
64 76 72
64 77 60
64 79 12
64 80 85
64 82 13
64 85 79
64 86 24
64 88 71
64 90 51
64 91 85
64 92 86
64 93 94
64 95 94
64 96 79
64 97 35
64 99 67
65 66 7
65 70 3
65 71 83
65 72 41
65 74 54
65 75 55
65 76 55
65 77 83
65 78 16
65 82 88
65 86 87
65 88 94
65 89 76
65 90 35
65 91 6
65 92 55
65 93 14
65 94 19
65 96 54
65 97 12
65 99 66
66 69 84
66 70 51
66 71 6
66 73 67
66 74 67
66 76 89
66 79 13
66 80 35
66 81 43
66 83 49
66 85 57
66 86 76
66 87 14
66 89 61
66 91 61
66 92 20
66 94 41
66 95 76
66 96 55
66 97 91
66 99 75
67 68 4
67 69 37
67 70 70
67 71 10
67 72 21
67 73 33
67 74 85
67 78 10
67 79 69
67 82 49
67 87 11
67 88 57
67 90 93
67 92 69
67 93 1
67 96 62
67 97 58
67 98 9
67 99 53
68 71 80
68 73 8
68 74 18
68 76 47
68 77 66
68 78 40
68 79 2
68 81 13
68 82 56
68 83 7
68 84 17
68 85 83
68 87 64
68 88 93
68 91 56
68 92 100
68 95 3
68 96 29
68 99 100
69 70 21
69 71 18
69 72 58
69 75 30
69 76 96
69 77 3
69 78 79
69 79 23
69 81 50
69 82 49
69 83 35
69 84 27
69 85 26
69 87 69
69 88 38
69 89 100
69 90 17
69 91 38
69 92 47
69 93 37
69 95 50
69 97 63
70 71 92
70 72 47
70 73 54
70 75 78
70 77 53
70 79 85
70 80 23
70 81 33
70 84 3
70 89 62
70 91 98
70 92 42
70 93 21
70 94 77
70 97 22
71 72 81
71 74 82
71 77 16
71 78 69
71 79 29
71 82 16
71 84 81
71 85 15
71 87 6
71 88 26
71 90 1
71 91 39
71 92 43
71 94 13
71 95 87
71 96 81
71 97 54
71 98 34
71 99 1
72 74 74
72 76 51
72 77 96
72 78 93
72 83 44
72 84 82
72 86 81
72 87 84
72 88 72
72 96 47
73 74 53
73 75 50
73 76 8
73 79 23
73 81 33
73 82 99
73 83 47
73 84 13
73 88 32
73 90 70
73 91 39
73 92 13
73 93 45
73 95 7
73 96 26
73 98 38
73 99 7
74 75 48
74 77 93
74 78 57
74 79 66
74 81 14
74 82 96
74 85 83
74 88 10
74 89 57
74 90 100
74 91 56
74 92 16
74 96 38
74 97 44
74 99 23
75 76 75
75 77 86
75 78 16
75 80 61
75 82 13
75 83 61
75 84 87
75 86 30
75 87 59
75 88 87
75 89 57
75 91 14
75 93 14
75 95 56
75 96 60
75 97 63
75 99 36
76 78 4
76 80 14
76 81 63
76 82 75
76 83 99
76 84 95
76 85 89
76 86 100
76 89 65
76 90 57
76 91 17
76 92 68
76 93 3
76 95 49
76 96 12
76 98 82
76 99 2
77 80 54
77 84 73
77 87 1
77 88 72
77 89 79
77 90 1
77 91 79
77 93 68
77 94 53
77 97 2
77 98 37
78 80 75
78 82 78
78 83 17
78 84 71
78 87 9
78 89 9
78 92 28
78 93 5
78 96 96
78 98 48
78 99 53
79 83 24
79 86 50
79 87 60
79 88 86
79 89 100
79 92 20
79 93 29
79 95 78
79 96 49
79 97 99
80 81 12
80 82 92
80 83 91
80 86 3
80 87 15
80 93 68
80 95 25
80 96 85
80 98 6
80 99 33
81 85 46
81 86 66
81 87 5
81 91 73
81 93 6
81 94 83
81 96 18
81 98 11
81 99 12
82 83 34
82 84 43
82 87 69
82 88 69
82 89 54
82 91 93
82 92 70
82 95 53
82 96 40
82 97 58
82 98 19
82 99 94
83 84 65
83 85 31
83 90 16
83 91 9
83 93 50
83 95 61
83 96 33
83 98 76
83 99 68
84 85 11
84 86 8
84 87 95
84 88 80
84 90 73
84 91 41
84 93 8
84 94 51
84 96 49
84 97 39
85 86 32
85 87 42
85 88 98
85 90 89
85 92 27
85 93 80
85 94 66
85 95 26
85 96 53
85 97 23
85 99 1
86 87 62
86 88 23
86 89 72
86 90 40
86 91 13
86 92 78
86 95 65
86 97 22
86 98 98
87 88 58
87 89 73
87 90 49
87 91 69
87 92 60
87 93 71
87 95 38
87 96 12
87 97 83
87 99 68
88 90 11
88 91 88
88 92 13
88 93 34
88 94 14
88 95 53
88 97 65
89 90 100
89 91 14
89 92 7
89 94 93
89 96 46
90 91 72
90 94 73
90 95 25
90 96 46
90 97 94
90 98 97
90 99 23
91 92 48
91 93 30
91 95 83
91 97 31
91 99 85
92 93 60
92 94 7
92 96 25
93 94 88
93 95 70
93 96 43
93 99 45
94 96 67
94 97 43
94 98 88
94 99 73
95 96 93
95 99 70
96 97 31
96 98 8
97 99 68
